Date,Open,High,Low,Close,Adj Close,Volume
9/17/2014,466,468,452,457,457,21056800
9/18/2014,457,457,413,424,424,34483200
9/19/2014,424,428,385,395,395,37919700
9/20/2014,395,423,390,409,409,36863600
9/21/2014,408,412,393,399,399,26580100
9/22/2014,399,407,397,402,402,24127600
9/23/2014,402,442,396,436,436,45099500
9/24/2014,436,436,421,423,423,30627700
9/25/2014,423,424,409,412,412,26814400
9/26/2014,411,415,400,404,404,21460800
9/27/2014,404,407,397,400,400,15029300
9/28/2014,399,401,374,377,377,23613300
9/29/2014,377,385,372,375,375,32497700
9/30/2014,376,391,373,387,387,34707300
10/1/2014,387,391,381,384,384,26229400
10/2/2014,384,385,373,375,375,21777700
10/3/2014,375,378,358,360,360,30901200
10/4/2014,360,364,326,329,329,47236500
10/5/2014,329,342,289,321,321,83308096
10/6/2014,320,345,303,330,330,79011800
10/7/2014,331,339,320,336,336,49199900
10/8/2014,336,354,327,353,353,54736300
10/9/2014,353,383,348,365,365,83641104
10/10/2014,365,375,353,362,362,43665700
10/11/2014,361,367,356,362,362,13345200
10/12/2014,363,379,356,379,379,17552800
10/13/2014,378,397,369,390,390,35221400
10/14/2014,392,412,391,401,401,38491500
10/15/2014,401,402,389,395,395,25267100
10/16/2014,395,399,373,383,383,26990000
10/17/2014,383,385,375,384,384,13600700
10/18/2014,384,395,379,391,391,11416800
10/19/2014,391,394,386,390,390,5914570
10/20/2014,389,390,378,383,383,16419000
10/21/2014,382,393,381,386,386,14188900
10/22/2014,386,389,382,383,383,11641300
10/23/2014,383,385,356,358,358,26456900
10/24/2014,359,364,353,358,358,15585700
10/25/2014,359,360,343,347,347,18127500
10/26/2014,347,359,344,355,355,11272500
10/27/2014,355,359,350,353,353,13033000
10/28/2014,353,360,353,358,358,7845880
10/29/2014,357,358,335,336,336,18192700
10/30/2014,336,351,335,345,345,30177900
10/31/2014,345,348,337,338,338,12545400
11/1/2014,339,341,321,326,326,16677200
11/2/2014,326,329,321,326,326,8603620
11/3/2014,326,334,325,328,328,12948500
11/4/2014,327,332,325,330,330,15655500
